# StartTime = 03/12/2026 07:37:48.1539 am
Time (sec), Trip Distance (miles), Trip Duration (min), Vehicle speed (MPH), Trip Fuel (gal), Trip Fuel Economy (MPG), Average Trip CO2 Rate (lb/mile), Total Trip CO2 (lbs), Total Fuel Economy (MPG), Engine Power (hp), Fuel Rate (gal/hr), Total CO2 (lbs), Instant Fuel Economy (MPG), Instant CO2 rate (lb/mile), Calculated load value (%), Engine coolant temperature (°F), Intake manifold absolute pressure (inHg)
0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,43.137257,0,0
0.197,0,0.00380586,0,2.5848747E-05,0,0,0.00058012427,34.660976,5.837495,0.37107962,5.497458,0,0,41.960785,84.2,29.5301
0.508,0,0.009823167,0,5.7386093E-05,0,0,0.0012879178,34.656513,5.435863,0.34554857,5.498166,0,0,41.960785,84.2,29.5301
0.789,0,0.014449446,0,8.786902E-05,0,0,0.0019720471,34.652203,5.3590665,0.34066674,5.4988503,0,0,40,84.2,29.5301
1.085,0,0.018597394,0,0.000113282615,0,0,0.0025424052,34.64861,5.2416773,0.3332045,5.4994206,0,0,39.60784,84.2,29.5301
1.323,0,0.02372216,0,0.0001387232,0,0,0.0031133692,34.64501,4.9870086,0.31701565,5.4999914,0,0,40.784313,84.2,29.5301
1.596,0,0.027513921,0,0.00016174758,0,0,0.003630106,34.641758,4.90921,0.31207013,5.5005083,0,0,38.039215,84.2,29.5301
1.839,0,0.0316308,0,0.00018290096,0,0,0.0041048517,34.638767,5.0550284,0.32133955,5.5009828,0,0,40,84.2,29.5301
2.093,0,0.035916597,0,0.0002029625,0,0,0.0045550936,34.635933,4.677771,0.29735795,5.5014334,0,0,39.60784,84.2,29.5301
2.327,0,0.03986224,0,0.0002234903,0,0,0.0050158,34.633034,4.889701,0.31082997,5.501894,0,0,41.960785,84.2,29.5301
2.603,0,0.04381932,0,0.00024406155,0,0,0.005477481,34.630127,4.817674,0.30625138,5.5023556,0,0,39.60784,84.2,29.5301
2.856,0,0.048987143,0,0.00027081548,0,0,0.0060779206,34.626347,5.103873,0.32444453,5.502956,0,0,40.39216,84.2,29.5301
3.113,0,0.0530025,0,0.00029241244,0,0,0.006562622,34.6233,4.7743154,0.3034951,5.503441,0,0,41.17647,84.2,29.5301
3.374,0,0.05680117,0,0.00031136296,0,0,0.006987929,34.620625,4.854117,0.30856797,5.503866,0,0,38.431374,84.2,29.5301
3.609,0,0.061693136,0,0.00033236793,0,0,0.007459344,34.617657,4.9784226,0.31646985,5.5043373,0,0,39.60784,84.2,29.5301
3.876,0,0.0656587,0,0.000357957,0,0,0.008033641,34.614048,4.632504,0.2944804,5.504912,0,0,39.60784,84.2,29.5301
4.122,0,0.069595516,0,0.00037609003,0,0,0.008440601,34.61149,4.750227,0.30196384,5.5053186,0,0,39.215687,84.2,29.5301
4.349,0,0.07385419,0,0.0003958237,0,0,0.008883484,34.608704,4.750227,0.30196384,5.5057616,0,0,39.60784,84.2,29.5301
4.608,0,0.077694386,0,0.00041782943,0,0,0.009377359,34.6056,4.703195,0.2989741,5.5062556,0,0,39.60784,84.2,29.5301
4.850,0,0.08168512,0,0.00043766588,0,0,0.009822549,34.602802,4.7213206,0.30012634,5.5067005,0,0,38.431374,84.2,29.5301
5.082,0,0.08580821,0,0.00045701503,0,0,0.010256803,34.600075,4.750227,0.30196384,5.507135,0,0,40.784313,84.2,29.5301
5.384,0,0.08975729,0,0.0004767182,0,0,0.010699002,34.597294,4.609131,0.29299462,5.507577,0,0,37.64706,84.2,29.5301
5.633,0,0.095768146,0,0.00049879344,0,0,0.011194437,34.594185,4.861558,0.309041,5.5080724,0,0,40,84.2,29.5301
