# StartTime = 03/12/2026 03:18:46.9578 am
Time (sec), Trip Distance (miles), Trip Duration (min), Vehicle speed (MPH), Trip Fuel (gal), Trip Fuel Economy (MPG), Average Trip CO2 Rate (lb/mile), Total Trip CO2 (lbs), Total Fuel Economy (MPG), Engine Power (hp), Fuel Rate (gal/hr), Total CO2 (lbs), Instant Fuel Economy (MPG), Instant CO2 rate (lb/mile), Calculated load value (%), Engine coolant temperature (°F), Intake manifold absolute pressure (inHg)
2349.920,7.8913007,39.16641,0,0.21476668,36.7436,0.6109064,4.8200154,36.439735,3.2326596,0.20549467,4.8602085,0,0,23.137255,172.4,29.825401
2350.287,7.8913007,39.172066,0,0.21478482,36.740494,0.61095804,4.8204226,36.436684,3.179665,0.2021259,4.8606157,0,0,23.137255,172.4,29.5301
2350.648,7.8913007,39.178738,0,0.21480407,36.7372,0.61101276,4.820854,36.433445,3.1182277,0.19822045,4.8610473,0,0,23.921568,172.4,29.5301
2351.019,7.8913007,39.184868,0,0.21482614,36.73343,0.6110755,4.8213496,36.429733,3.101342,0.19714704,4.8615427,0,0,23.921568,172.4,29.5301
2351.372,7.8913007,39.190685,0,0.21484827,36.729645,0.6111385,4.8218465,36.42601,3.2064724,0.20382999,4.8620396,0,0,23.529411,172.4,29.5301
2351.716,7.8913007,39.195663,0,0.21486385,36.726982,0.6111828,4.822196,36.423393,3.2064724,0.20382999,4.862389,0,0,24.313726,172.4,29.5301
2352.020,7.8913007,39.20196,0,0.21488294,36.723717,0.61123717,4.8226247,36.42018,3.1624932,0.20103431,4.862818,0,0,23.921568,172.4,29.5301
2352.388,7.8913007,39.207077,0,0.21490477,36.719986,0.6112992,4.8231144,36.41651,3.2442505,0.20623149,4.8633075,0,0,23.921568,172.4,29.5301
2352.704,7.8913007,39.21267,0,0.21492122,36.71718,0.611346,4.823484,36.41375,3.2472079,0.20641948,4.863677,0,0,23.921568,172.4,29.5301
2353.058,7.8913007,39.21865,0,0.2149406,36.713867,0.61140114,4.8239183,36.410496,3.2006528,0.20346007,4.8641114,0,0,23.921568,172.4,29.5301
2353.406,7.8913007,39.224667,0,0.21496105,36.710373,0.6114593,4.8243775,36.40706,3.2472079,0.20641948,4.8645706,0,0,23.921568,172.4,29.5301
2353.748,7.8913007,39.230534,0,0.2149818,36.706833,0.6115183,4.8248434,36.403572,3.2064724,0.20382999,4.8650365,0,0,23.529411,172.4,29.5301
2354.132,7.8913007,39.235508,0,0.21499898,36.703896,0.6115672,4.825229,36.40069,3.2326596,0.20549467,4.8654222,0,0,24.313726,172.4,29.5301
2354.460,7.8913007,39.2431,0,0.21501966,36.700367,0.611626,4.825693,36.397217,3.1710792,0.2015801,4.865886,0,0,23.529411,172.4,29.5301
2354.867,7.8913007,39.2484,0,0.21504425,36.696175,0.61169595,4.826245,36.39309,3.2915688,0.20923942,4.866438,0,0,23.921568,172.4,29.5301
2355.220,7.8913007,39.254726,0,0.21506402,36.6928,0.6117522,4.826689,36.38977,3.1710792,0.2015801,4.866882,0,0,24.313726,172.4,29.825401
2355.581,7.8913007,39.260895,0,0.21508591,36.689064,0.6118145,4.82718,36.386097,3.238479,0.2058646,4.867373,0,0,24.313726,172.4,29.5301
2355.934,7.8913007,39.266415,0,0.21510647,36.68556,0.611873,4.8276415,36.38265,3.2590375,0.20717147,4.8678346,0,0,24.313726,172.4,29.5301
2356.269,7.8913007,39.272423,0,0.2151251,36.68238,0.61192596,4.828059,36.379524,3.2767818,0.20829944,4.8682523,0,0,23.529411,172.4,29.5301
2356.615,7.8913007,39.27797,0,0.21514577,36.678856,0.6119847,4.828523,36.37606,3.2767818,0.20829944,4.8687162,0,0,23.137255,172.4,29.5301
2356.931,7.8913007,39.282978,0,0.21516311,36.6759,0.6120341,4.8289127,36.37315,3.179665,0.2021259,4.869106,0,0,22.745098,172.4,29.5301
2357.224,7.8913007,39.28862,0,0.21518137,36.672787,0.612086,4.829322,36.37009,3.1322992,0.19911493,4.8695154,0,0,23.137255,172.4,29.5301
2357.608,7.8913007,39.293396,0,0.21519725,36.670082,0.6121312,4.8296785,36.367428,3.073676,0.19538838,4.8698716,0,0,23.137255,172.4,29.5301
2357.873,7.8913007,39.30098,0,0.21521463,36.667118,0.6121806,4.8300686,36.364513,3.1097848,0.19768374,4.8702617,0,0,23.529411,172.4,29.5301
2358.199,7.8913007,39.304733,0,0.21523562,36.663544,0.6122403,4.8305397,36.360996,3.1266706,0.19875714,4.870733,0,0,22.745098,172.4,29.5301
2358.431,7.8913007,39.30851,0,0.21524994,36.661106,0.612281,4.830861,36.3586,3.193975,0.20303556,4.871054,0,0,21.960785,172.4,29.5301
2358.666,7.8913007,39.31226,0,0.21526238,36.658985,0.6123165,4.8311405,36.356514,3.0875092,0.19626771,4.8713336,0,0,22.745098,172.4,29.5301
2358.916,7.8913007,39.3164,0,0.21527426,36.656963,0.6123502,4.831407,36.354527,2.9676874,0.18865085,4.8716,0,0,68.23529,172.4,29.5301
2359.174,7.8913007,39.32051,0,0.21528862,36.65452,0.6123911,4.8317294,36.35212,3.0792093,0.1957401,4.8719225,0,0,46.666668,172.4,29.825401
2359.440,7.8913007,39.325115,0,0.21534473,36.64497,0.6125507,4.8329883,36.342728,11.105073,0.70593065,4.8731813,0,0,37.2549,172.4,30.416002
2359.740,7.8913007,39.32909,0.6213712,0.21537569,36.639698,0.6126388,4.8336835,36.337547,8.372498,0.5322255,4.8738766,0,0,55.686275,172.4,30.416002
2360.032,7.891344,39.3355,2.4854848,0.21540327,36.63521,0.6127139,4.8343024,36.33313,6.217185,0.39521587,4.8744955,1.5722324,14.277088,41.960785,172.4,30.416002
2360.389,7.891663,39.340992,3.1068559,0.21548338,36.62307,0.61291695,4.8361,36.321205,9.68591,0.6157169,4.876293,4.036733,5.5606594,39.60784,172.4,30.711304
2360.632,7.8918595,39.345257,3.7282271,0.21551284,36.618973,0.6129855,4.8367615,36.31718,7.5945625,0.48277345,4.8769546,6.4354324,3.4880173,41.568626,172.4,30.711304
2360.880,7.892147,39.349518,4.3495984,0.21555208,36.613644,0.6130747,4.837642,36.31195,7.183152,0.45662078,4.8778353,8.164822,2.7492213,35.686275,172.4,30.711304
2361.107,7.8924284,39.353107,5.592341,0.21557932,36.61032,0.6131304,4.8382535,36.308693,7.3162823,0.46508363,4.8784466,9.352293,2.4001493,13.333333,172.4,30.416002
2361.389,7.892771,39.356728,5.592341,0.21560222,36.60802,0.6131689,4.8387675,36.306442,6.111673,0.38850868,4.8789606,14.394379,1.5594213,8.235294,172.4,30.120703
2361.687,7.893112,39.36256,5.592341,0.2156111,36.608097,0.61316764,4.838967,36.30653,2.1440082,0.13629095,4.87916,41.032368,0.54705346,31.764706,172.4,30.120703
2362.053,7.8938437,39.368713,6.2137117,0.21562274,36.609512,0.6131439,4.839228,36.30795,1.3933573,0.08857335,4.879421,63.13796,0.35552147,24.705883,172.4,30.416002
2362.288,7.8942833,39.37316,6.2137117,0.21564831,36.607212,0.6131825,4.839802,36.305702,5.8032465,0.3689025,4.879995,16.843777,1.3326523,18.039215,172.4,30.416002
2362.529,7.8947263,39.376766,6.835083,0.2156674,36.606026,0.61320233,4.8402305,36.304554,4.1319904,0.2626636,4.8804235,23.656538,0.9488666,19.215687,172.4,30.416002
2362.743,7.895147,39.380573,6.835083,0.21567796,36.606182,0.6131997,4.8404675,36.30472,2.9862902,0.1898334,4.8806605,36.00569,0.6234264,18.82353,172.4,30.120703
2362.969,7.895574,39.38401,6.835083,0.21569052,36.606033,0.6132022,4.8407493,36.304592,3.1343026,0.1992423,4.8809423,34.30538,0.6543259,17.647058,172.4,30.120703
2363.312,7.8959527,39.387794,6.835083,0.21570198,36.605843,0.6132054,4.8410068,36.30442,3.038283,0.19313848,4.8812,35.389545,0.63428056,9.411765,172.4,30.120703
2363.546,7.896408,39.39586,7.4564543,0.2157269,36.603725,0.61324084,4.8415656,36.302357,3.492337,0.22200193,4.8817587,30.788397,0.7290701,0,172.4,30.120703
2363.910,7.89742,39.399643,6.835083,0.21573783,36.60656,0.6131934,4.841811,36.30518,1.9266881,0.12247629,4.8820043,60.8808,0.36870247,1.9607843,172.4,30.416002
2364.134,7.8978457,39.40366,6.835083,0.21573783,36.608532,0.6131603,4.841811,36.307137,0,0,4.8820043,0,0,2.3529413,172.4,30.416002
2364.361,7.8982983,39.407436,6.835083,0.2157394,36.610367,0.6131296,4.8418465,36.308956,0.37348902,0.023742061,4.8820395,287.8892,0.077970624,8.235294,172.4,30.416002
2364.586,7.8987184,39.410908,6.835083,0.21574113,36.612022,0.6131019,4.8418846,36.3106,0.40439844,0.025706923,4.8820777,265.88492,0.08442336,16.470589,172.4,30.120703
2364.811,7.8991213,39.414707,6.2137117,0.21574514,36.61321,0.61308205,4.8419747,36.311787,1.1459386,0.07284538,4.882168,93.830025,0.2392294,16.078432,172.4,29.825401
2365.072,7.8995304,39.41863,6.2137117,0.21575312,36.61375,0.613073,4.842154,36.312332,1.9633216,0.12480501,4.882347,49.787357,0.4508554,18.82353,172.4,29.825401
2365.367,7.8999186,39.423462,6.2137117,0.21576074,36.614254,0.6130645,4.842325,36.312843,1.7914116,0.11387699,4.8825183,54.56512,0.41137818,19.607843,172.4,29.5301
2365.710,7.90058,39.42951,6.2137117,0.21577632,36.614674,0.6130575,4.8426747,36.313282,2.0537603,0.13055405,4.882868,47.59494,0.4716237,20.392157,172.4,29.5301
2365.964,7.9010615,39.434647,6.2137117,0.21578468,36.61549,0.61304384,4.8428626,36.314102,2.1655684,0.1376615,4.8830557,45.137615,0.49729922,20.392157,172.4,29.5301
2366.233,7.901589,39.43847,6.2137117,0.21579671,36.61589,0.6130371,4.8431325,36.314518,2.2645931,0.14395633,4.8833256,43.163864,0.52003914,20.392157,172.4,29.5301
2366.444,7.901971,39.442272,6.2137117,0.21580614,36.616062,0.61303425,4.843344,36.314697,2.2720344,0.14442936,4.8835373,43.0225,0.52174795,21.17647,172.4,29.5301
2366.668,7.9023542,39.445724,6.2137117,0.21581487,36.616356,0.61302936,4.84354,36.315002,2.2943578,0.14584842,4.8837333,42.6039,0.5268743,21.568628,172.4,29.5301
2366.879,7.9027243,39.449326,6.2137117,0.21582387,36.616547,0.61302614,4.843742,36.315205,2.4032085,0.15276788,4.883935,40.674202,0.5518707,22.352942,172.4,29.5301
2367.216,7.903109,39.452766,6.2137117,0.21583375,36.61665,0.6130244,4.8439636,36.315323,2.46083,0.15643078,4.8841567,39.7218,0.5651028,23.529411,172.4,29.5301
2367.434,7.9034634,39.460346,5.592341,0.21584535,36.616325,0.61302984,4.844224,36.315014,2.588379,0.16453886,4.884417,37.764404,0.5943931,23.137255,172.4,29.5301
2367.771,7.904175,39.464138,5.592341,0.21586566,36.616177,0.61303234,4.84468,36.314896,2.821917,0.17938447,4.884873,31.175167,0.720025,23.137255,172.4,29.5301
2368.010,7.9045362,39.4679,5.592341,0.21587749,36.615845,0.6130379,4.844945,36.314583,2.845242,0.18086721,4.885138,30.919594,0.7259765,21.568628,172.4,29.5301
2368.220,7.904864,39.471863,5.592341,0.2158886,36.615475,0.6130441,4.845195,36.31423,2.9296706,0.18623419,4.885388,30.02854,0.74751884,29.80392,172.4,29.5301
2368.458,7.905235,39.47547,5.592341,0.21589972,36.615307,0.6130469,4.845444,36.31408,2.7546604,0.17510907,4.8856373,31.936327,0.70286417,29.019608,172.4,29.234798
2368.729,7.9055777,39.479397,5.592341,0.21591713,36.613945,0.6130697,4.8458347,36.312756,4.147207,0.26363087,4.886028,21.212769,1.0581788,25.882353,172.4,29.5301
2369.054,7.9059305,39.484695,5.592341,0.21593533,36.61249,0.61309403,4.846244,36.311337,4.7546153,0.30224282,4.886437,18.502808,1.2131618,15.294118,172.4,30.120703
2369.424,7.906725,39.491676,5.592341,0.21597335,36.609722,0.6131404,4.847097,36.308643,4.2311583,0.26896754,4.88729,20.79188,1.0795994,16.470589,172.4,29.825401
2369.656,7.9070964,39.4955,5.592341,0.21598332,36.609756,0.61313987,4.8473206,36.30869,2.4127963,0.15337735,4.8875136,36.46132,0.615636,18.039215,172.4,29.825401
2369.872,7.9074345,39.499294,6.2137117,0.21599314,36.609657,0.6131415,4.847541,36.308605,2.5923858,0.16479357,4.887734,33.935432,0.6614591,9.019608,172.4,29.5301
2370.103,7.907853,39.502872,6.2137117,0.2160054,36.609516,0.61314386,4.847816,36.308483,2.821726,0.17937234,4.888009,34.64142,0.64797866,5.490196,172.4,29.825401
2370.333,7.908219,39.50651,6.2137117,0.21601097,36.610264,0.61313134,4.847941,36.309235,1.5106987,0.096032545,4.888134,64.70423,0.34691548,4.7058825,172.4,30.120703
2370.560,7.908583,39.510704,5.592341,0.21601471,36.61132,0.61311364,4.848025,36.310284,0.92690146,0.05892155,4.888218,105.457375,0.21285282,6.6666665,172.4,30.120703
2370.956,7.908952,39.51474,5.592341,0.21601777,36.61251,0.61309373,4.8480935,36.31147,0.76300514,0.04850294,4.8882866,115.299,0.19468425,12.941176,170.6,29.825401
2371.198,7.9093404,39.52396,5.592341,0.2160218,36.61362,0.61307514,4.848184,36.312576,0.8782,0.055825684,4.888377,100.17506,0.22407675,18.431372,170.6,29.825401
2371.607,7.9102206,39.5279,4.9709697,0.2160354,36.61539,0.61304545,4.8484893,36.31435,1.3678856,0.08695416,4.8886824,64.31366,0.34902227,20.392157,170.6,29.5301
2371.846,7.9105763,39.53211,4.9709697,0.21604367,36.615635,0.61304134,4.848675,36.314606,1.9056048,0.12113606,4.888868,41.036247,0.5470018,20.784313,170.6,29.5301
2372.068,7.910879,39.535713,4.3495984,0.21605228,36.615578,0.61304235,4.848868,36.31456,2.155456,0.13701868,4.889061,36.279503,0.6187213,20.784313,170.6,29.5301
2372.307,7.911152,39.53949,4.3495984,0.21606131,36.61531,0.6130468,4.8490705,36.31431,2.2449408,0.14270708,4.8892636,30.479206,0.73646605,21.17647,170.6,29.5301
2372.527,7.9114294,39.543613,3.7282271,0.21607152,36.614864,0.6130543,4.8493,36.31388,2.2879183,0.14543907,4.889493,29.90667,0.75056505,22.352942,170.6,29.5301
2372.932,7.911677,39.54722,3.7282271,0.21608013,36.614548,0.6130596,4.8494935,36.31358,2.3594203,0.14998433,4.8896866,24.857445,0.90302527,22.745098,170.6,29.5301
2373.156,7.911893,39.55663,3.1068559,0.21610186,36.611866,0.61310446,4.849981,36.310947,2.5448768,0.1617735,4.890174,23.04597,0.9740054,25.490196,170.6,29.5301
2373.562,7.912403,39.560738,3.1068559,0.21611871,36.611374,0.61311275,4.850359,36.310482,2.9353468,0.18659502,4.890552,16.650263,1.348141,23.921568,170.6,29.5301
2373.789,7.9125977,39.564335,3.1068559,0.21613257,36.60993,0.61313695,4.85067,36.309067,3.391929,0.21561916,4.890863,14.408998,1.557839,23.529411,170.6,29.5301
2374.013,7.912792,39.56826,3.1068559,0.21614529,36.608673,0.613158,4.8509555,36.30784,3.2006528,0.20346007,4.8911486,15.270102,1.4699903,24.313726,170.6,29.5301
2374.231,7.9129815,39.57186,3.1068559,0.21615773,36.60744,0.6131786,4.851235,36.306637,3.1624932,0.20103431,4.891428,15.454356,1.4524642,23.529411,170.6,29.5301
2374.577,7.913171,39.57546,3.1068559,0.21617068,36.60612,0.61320066,4.8515253,36.305347,3.2117193,0.20416354,4.8917184,15.217487,1.4750727,23.921568,170.6,29.5301
2374.837,7.913397,39.583344,3.1068559,0.21619031,36.603848,0.6132388,4.851966,36.303116,3.1081154,0.19757761,4.892159,15.724736,1.4274898,24.705883,170.6,29.5301
2375.181,7.9137983,39.587673,3.1068559,0.21620974,36.602413,0.61326283,4.852402,36.301723,3.1599174,0.20087057,4.8925953,15.466954,1.4512812,25.09804,170.6,29.5301
2375.396,7.913991,39.59144,3.1068559,0.21622236,36.60117,0.6132837,4.8526855,36.300503,3.2454908,0.20631033,4.8928785,15.059139,1.4905832,23.529411,170.6,29.5301
2375.626,7.91419,39.594875,2.4854848,0.21623567,36.599834,0.61330605,4.852984,36.299202,3.3214288,0.21113758,4.893177,14.714842,1.5254599,24.313726,170.6,29.5301
2375.830,7.9143295,39.598686,2.4854848,0.21624742,36.59849,0.6133285,4.8532476,36.297886,3.1224253,0.19848727,4.8934407,12.522137,1.7925775,25.09804,170.6,29.5301
2376.066,7.9144845,39.60212,2.4854848,0.21626018,36.59705,0.6133527,4.853534,36.29647,3.2442505,0.20623149,4.8937273,12.051917,1.862517,23.921568,170.6,29.5301
2376.316,7.9146233,39.606262,2.4854848,0.21627246,36.59561,0.6133768,4.85381,36.295063,3.3397453,0.21230194,4.894003,11.707311,1.9173404,23.921568,170.6,29.5301
2376.570,7.9147987,39.61126,2.4854848,0.21628648,36.594055,0.61340296,4.854124,36.293537,3.1919239,0.20290518,4.894317,12.249489,1.8324764,23.921568,170.6,29.5301
2376.874,7.9150095,39.615475,2.4854848,0.21630578,36.591763,0.61344135,4.8545575,36.29129,3.2239304,0.20493978,4.8947506,12.127879,1.8508513,23.921568,170.6,29.5301
2377.168,7.915219,39.62043,1.8641136,0.21632142,36.590084,0.6134695,4.8549085,36.289646,3.2152014,0.2043849,4.8951015,12.160805,1.84584,23.529411,170.6,29.5301
