# StartTime = 03/12/2026 06:37:48.5371 pm
Time (sec), Calculated load value (%), Engine coolant temperature (°F), Intake manifold absolute pressure (inHg), Vehicle speed (MPH), Instant Fuel Economy (MPG), Total Fuel Economy (MPG), Fuel Rate (gal/hr), Instant CO2 rate (lb/mile), Total CO2 (lbs), Trip Distance (miles), Trip Fuel (gal), Trip Fuel Economy (MPG), Trip Duration (min), Average Trip CO2 Rate (lb/mile), Total Trip CO2 (lbs), Latitude (deg), Longitude (deg)
0.000,43.137257,0,0,0,0,34.660976,0.37107962,0,5.497458,0,2.5848747E-05,0,0.00380586,0,0.00058012427,-37.767864,144.92195
1.010,39.60784,84.2,29.5301,0,0,34.64501,0.31701565,0,5.4999914,0,0.0001387232,0,0.02372216,0,0.0031133692,-37.767868,144.92195
2.029,39.60784,84.2,29.5301,0,0,34.633034,0.31082997,0,5.501894,0,0.0002234903,0,0.03986224,0,0.0050158,-37.76787,144.92195
3.029,41.17647,84.2,29.5301,0,0,34.620625,0.30856797,0,5.503866,0,0.00031136296,0,0.05680117,0,0.006987929,-37.76787,144.92195
4.033,39.215687,84.2,29.5301,0,0,34.608704,0.30196384,0,5.5057616,0,0.0003958237,0,0.07385419,0,0.008883484,-37.767876,144.92195
5.014,40.784313,84.2,29.5301,0,0,34.597294,0.29299462,0,5.507577,0,0.0004767182,0,0.08975729,0,0.010699002,-37.767876,144.92195
6.020,39.60784,84.2,29.5301,0,0,34.584923,0.29210317,0,5.509547,0,0.00056450913,0,0.10768011,0,0.012669296,-37.767876,144.92195
7.032,38.82353,84.2,29.5301,0,0,34.573486,0.29210317,0,5.5113697,0,0.0006457073,0,0.12376122,0,0.01449163,-37.767876,144.92195
8.022,39.215687,84.2,29.5301,0,0,34.562603,0.29268232,0,5.513105,0,0.0007230297,0,0.13945419,0,0.016226979,-37.76788,144.92195
8.995,38.039215,84.2,29.5301,0,0,34.551105,0.28439534,0,5.5149403,0,0.000804792,0,0.15658414,0,0.018061971,-37.76788,144.92195
10.017,36.862743,84.2,29.5301,0,0,34.539368,0.2956387,0,5.5168138,0,0.00088828563,0,0.17377314,0,0.019935822,-37.76788,144.92195
11.019,36.07843,84.2,29.5301,0,0,34.5296,0.2912117,0,5.518375,0,0.00095784623,0,0.1885193,0,0.021496974,-37.76788,144.92195
12.039,35.686275,84.2,29.5301,0,0,34.518505,0.29000488,0,5.5201483,0,0.001036856,0,0.20541991,0,0.023270192,-37.76788,144.92195
