# StartTime = 03/12/2026 03:17:53.1221 am
Time (sec), Trip Fuel (gal), Trip Fuel Economy (MPG), Average Trip CO2 Rate (lb/mile), Total Trip CO2 (lbs), Total Fuel Economy (MPG), Engine Power (hp), Fuel Rate (gal/hr), Total CO2 (lbs), Instant Fuel Economy (MPG), Instant CO2 rate (lb/mile), Calculated load value (%), Trip Distance (miles), Trip Duration (min), Vehicle speed (MPH), Engine coolant temperature (°F), Intake manifold absolute pressure (inHg)
8.541,0.00084888126,0,0,0.01905147,0,4.931677,0.31349832,0.01905147,0,0,38.431374,0,0.14409775,0,62.6,29.234798
8.760,0.0008684419,0,0,0.01949047,0,5.2127714,0.33136702,0.01949047,0,0,39.60784,0,0.14788938,0,62.6,29.234798
8.983,0.0008870328,0,0,0.019907705,0,4.917653,0.31260684,0.019907705,0,0,38.82353,0,0.15131289,0,62.6,29.234798
9.196,0.0009052485,0,0,0.02031652,0,5.0826464,0.3230952,0.02031652,0,0,40,0,0.15494399,0,62.6,29.234798
9.474,0.0009264608,0,0,0.020792589,0,4.967833,0.3157967,0.020792589,0,0,40.39216,0,0.1585279,0,62.6,29.234798
9.709,0.0009488039,0,0,0.021294035,0,5.1086426,0.32474774,0.021294035,0,0,40,0,0.16400382,0,62.6,29.234798
9.983,0.0009760802,0,0,0.021906199,0,5.168554,0.32855618,0.021906199,0,0,40.784313,0,0.16779062,0,62.6,29.234798
10.213,0.0009977594,0,0,0.022392744,0,5.0940466,0.32381988,0.022392744,0,0,38.82353,0,0.17193268,0,62.6,29.234798
10.460,0.0010195761,0,0,0.02288238,0,5.1939297,0.3301693,0.02288238,0,0,39.215687,0,0.1758791,0,62.6,29.234798
10.705,0.0010386292,0,0,0.023309989,0,4.9583883,0.31519634,0.023309989,0,0,40,0,0.17998256,0,62.6,29.234798
10.924,0.0010597644,0,0,0.023784326,0,4.9798536,0.31656083,0.023784326,0,0,38.431374,0,0.18426609,0,62.6,29.234798
11.165,0.0010830102,0,0,0.024306033,0,5.1183734,0.32536632,0.024306033,0,0,38.82353,0,0.1876839,0,62.6,29.234798
11.379,0.0011017297,0,0,0.024726156,0,4.931677,0.31349832,0.024726156,0,0,38.431374,0,0.19130029,0,62.6,29.234798
11.603,0.0011207022,0,0,0.025151957,0,4.9583883,0.31519634,0.025151957,0,0,38.431374,0,0.19480109,0,62.6,29.234798
11.810,0.0011409234,0,0,0.02560578,0,4.9083037,0.31201252,0.02560578,0,0,38.039215,0,0.19878213,0,62.6,29.234798
12.049,0.0011592146,0,0,0.026016291,0,4.9083037,0.31201252,0.026016291,0,0,39.215687,0,0.20220725,0,62.6,29.234798
12.263,0.0011771646,0,0,0.026419142,0,4.8443384,0.30794635,0.026419142,0,0,40,0,0.20613992,0,62.6,29.234798
12.485,0.0011979735,0,0,0.026886156,0,4.9655437,0.31565118,0.026886156,0,0,38.431374,0,0.20984624,0,62.6,29.234798
12.716,0.001217534,0,0,0.027325153,0,5.0794506,0.32289204,0.027325153,0,0,37.2549,0,0.21337858,0,62.6,29.234798
12.939,0.0012379391,0,0,0.027783107,0,4.931677,0.31349832,0.027783107,0,0,38.039215,0,0.21753357,0,62.6,29.234798
13.186,0.0012554603,0,0,0.028176336,0,4.7308607,0.3007328,0.028176336,0,0,38.82353,0,0.22134352,0,62.6,29.234798
13.421,0.0012757778,0,0,0.02863232,0,4.8304577,0.307064,0.02863232,0,0,39.60784,0,0.22556749,0,62.6,29.234798
13.681,0.0012990286,0,0,0.02915414,0,4.9158883,0.31249467,0.02915414,0,0,37.64706,0,0.22959371,0,62.6,29.234798
13.912,0.0013211041,0,0,0.02964958,0,5.044105,0.32064518,0.02964958,0,0,39.60784,0,0.23396571,0,62.6,29.234798
14.165,0.0013410402,0,0,0.03009701,0,4.7531843,0.30215186,0.03009701,0,0,38.039215,0,0.23725817,0,62.6,29.234798
14.385,0.001360119,0,0,0.030525193,0,5.015199,0.31880766,0.030525193,0,0,38.431374,0,0.24179783,0,62.6,29.234798
14.636,0.001383231,0,0,0.031043898,0,4.8026967,0.30529925,0.031043898,0,0,38.039215,0,0.24543451,0,62.6,29.234798
14.858,0.0014033131,0,0,0.0314946,0,4.852209,0.30844668,0.0314946,0,0,36.862743,0,0.24943642,0,62.6,29.234798
15.092,0.001421667,0,0,0.03190652,0,4.8443384,0.30794635,0.03190652,0,0,38.82353,0,0.2533765,0,62.6,29.234798
