# StartTime = 03/12/2026 02:17:53.5829 pm
Time (sec), Calculated load value (%), Engine coolant temperature (°F), Intake manifold absolute pressure (inHg), Vehicle speed (MPH), Instant Fuel Economy (MPG), Total Fuel Economy (MPG), Fuel Rate (gal/hr), Instant CO2 rate (lb/mile), Total CO2 (lbs), Trip Distance (miles), Trip Fuel (gal), Trip Fuel Economy (MPG), Trip Duration (min), Average Trip CO2 Rate (lb/mile), Total Trip CO2 (lbs), Latitude (deg), Longitude (deg)
0.000,43.92157,62.6,29.234798,0,0,0,0.38023683,0,0.0012681645,0,5.650593E-05,0,0.008344362,0,0.0012681645,-37.80247,145.03955
0.979,44.705883,62.6,29.234798,0,0,0,0.36389333,0,0.0035384016,0,0.00015766147,0,0.023763772,0,0.0035384016,-37.80246,145.03952
2.005,43.137257,62.6,29.234798,0,0,0,0.34385055,0,0.005581963,0,0.00024871697,0,0.039200306,0,0.005581963,-37.802456,145.0395
3.000,41.568626,62.6,29.234798,0,0,0,0.36201945,0,0.008177285,0,0.00036435743,0,0.059000004,0,0.008177285,-37.80246,145.0395
4.000,44.313725,62.6,29.234798,0,0,0,0.34358978,0,0.010118368,0,0.00045084674,0,0.07360658,0,0.010118368,-37.802467,145.0395
5.006,41.17647,62.6,29.234798,0,0,0,0.35455418,0,0.012561813,0,0.00055972,0,0.09203567,0,0.012561813,-37.80247,145.03952
5.998,41.568626,62.6,29.234798,0,0,0,0.3384381,0,0.014559885,0,0.0006487486,0,0.10839078,0,0.014559885,-37.80248,145.03952
7.004,40,62.6,29.234798,0,0,0,0.33780134,0,0.01656323,0,0.0007380121,0,0.12433859,0,0.01656323,-37.802483,145.03952
7.993,38.431374,62.6,29.234798,0,0,0,0.32629415,0,0.018560106,0,0.0008269875,0,0.14016171,0,0.018560106,-37.802486,145.03952
8.990,40,62.6,29.234798,0,0,0,0.3157967,0,0.020792589,0,0.0009264608,0,0.1585279,0,0.020792589,-37.802464,145.0395
9.994,38.82353,62.6,29.234798,0,0,0,0.3301693,0,0.02288238,0,0.0010195761,0,0.1758791,0,0.02288238,-37.80246,145.0395
11.000,38.82353,62.6,29.234798,0,0,0,0.31349832,0,0.024726156,0,0.0011017297,0,0.19130029,0,0.024726156,-37.802464,145.0395
12.005,39.215687,62.6,29.234798,0,0,0,0.30794635,0,0.026419142,0,0.0011771646,0,0.20613992,0,0.026419142,-37.802467,145.0395
13.006,38.82353,62.6,29.234798,0,0,0,0.307064,0,0.02863232,0,0.0012757778,0,0.22556749,0,0.02863232,-37.802475,145.0395
14.019,38.039215,62.6,29.234798,0,0,0,0.31880766,0,0.030525193,0,0.001360119,0,0.24179783,0,0.030525193,-37.80248,145.0395
14.990,38.82353,62.6,29.234798,0,0,0,0.29528695,0,0.032338455,0,0.0014409131,0,0.25696772,0,0.032338455,-37.802486,145.0395
15.999,38.431374,62.6,29.234798,0,0,0,0.3038984,0,0.034515094,0,0.001537898,0,0.27621856,0,0.034515094,-37.802475,145.03949
17.006,37.64706,62.6,29.234798,0,0,0,0.304711,0,0.036311556,0,0.0016179435,0,0.29181275,0,0.036311556,-37.802475,145.03949
17.997,38.039215,62.6,29.234798,0,0,0,0.29756415,0,0.037983224,0,0.0016924284,0,0.3067936,0,0.037983224,-37.80248,145.03949
19.000,37.2549,62.6,29.234798,0,0,0,0.29528695,0,0.03970567,0,0.0017691759,0,0.32273126,0,0.03970567,-37.802483,145.03949
